project_id,metric_date,metric_name,metric_value,dimension_name,dimension_value
proj_demo_001,2026-04-01,dau,9300,overall,all
proj_demo_001,2026-04-01,conversion_rate,0.13,overall,all
proj_demo_001,2026-04-01,payment_success_rate,0.9166,overall,all
proj_demo_001,2026-04-01,refund_rate,0.038,overall,all
proj_demo_001,2026-04-01,ticket_count,85,overall,all
proj_demo_001,2026-04-01,ai_reply_satisfaction,0.7883,overall,all
proj_demo_001,2026-04-01,onboarding_completion_rate,0.6265,overall,all
proj_demo_001,2026-04-02,dau,9020,overall,all
proj_demo_001,2026-04-02,conversion_rate,0.1255,overall,all
proj_demo_001,2026-04-02,payment_success_rate,0.9055,overall,all
proj_demo_001,2026-04-02,refund_rate,0.0345,overall,all
proj_demo_001,2026-04-02,ticket_count,80,overall,all
proj_demo_001,2026-04-02,ai_reply_satisfaction,0.7838,overall,all
proj_demo_001,2026-04-02,onboarding_completion_rate,0.6602,overall,all
proj_demo_001,2026-04-03,dau,9445,overall,all
proj_demo_001,2026-04-03,conversion_rate,0.1275,overall,all
proj_demo_001,2026-04-03,payment_success_rate,0.9069,overall,all
proj_demo_001,2026-04-03,refund_rate,0.0365,overall,all
proj_demo_001,2026-04-03,ticket_count,80,overall,all
proj_demo_001,2026-04-03,ai_reply_satisfaction,0.7677,overall,all
proj_demo_001,2026-04-03,onboarding_completion_rate,0.6298,overall,all
proj_demo_001,2026-04-04,dau,9228,overall,all
proj_demo_001,2026-04-04,conversion_rate,0.1251,overall,all
proj_demo_001,2026-04-04,payment_success_rate,0.9048,overall,all
proj_demo_001,2026-04-04,refund_rate,0.0362,overall,all
proj_demo_001,2026-04-04,ticket_count,87,overall,all
proj_demo_001,2026-04-04,ai_reply_satisfaction,0.7809,overall,all
proj_demo_001,2026-04-04,onboarding_completion_rate,0.6607,overall,all
proj_demo_001,2026-04-05,dau,9217,overall,all
proj_demo_001,2026-04-05,conversion_rate,0.1306,overall,all
proj_demo_001,2026-04-05,payment_success_rate,0.9061,overall,all
proj_demo_001,2026-04-05,refund_rate,0.0359,overall,all
proj_demo_001,2026-04-05,ticket_count,85,overall,all
proj_demo_001,2026-04-05,ai_reply_satisfaction,0.7874,overall,all
proj_demo_001,2026-04-05,onboarding_completion_rate,0.6319,overall,all
proj_demo_001,2026-04-06,dau,9546,overall,all
proj_demo_001,2026-04-06,conversion_rate,0.1246,overall,all
proj_demo_001,2026-04-06,payment_success_rate,0.9095,overall,all
proj_demo_001,2026-04-06,refund_rate,0.0375,overall,all
proj_demo_001,2026-04-06,ticket_count,83,overall,all
proj_demo_001,2026-04-06,ai_reply_satisfaction,0.7908,overall,all
proj_demo_001,2026-04-06,onboarding_completion_rate,0.6512,overall,all
proj_demo_001,2026-04-07,dau,9645,overall,all
proj_demo_001,2026-04-07,conversion_rate,0.1304,overall,all
proj_demo_001,2026-04-07,payment_success_rate,0.9175,overall,all
proj_demo_001,2026-04-07,refund_rate,0.0352,overall,all
proj_demo_001,2026-04-07,ticket_count,88,overall,all
proj_demo_001,2026-04-07,ai_reply_satisfaction,0.7654,overall,all
proj_demo_001,2026-04-07,onboarding_completion_rate,0.6418,overall,all
proj_demo_001,2026-04-08,dau,9330,overall,all
proj_demo_001,2026-04-08,conversion_rate,0.13,overall,all
proj_demo_001,2026-04-08,payment_success_rate,0.9079,overall,all
proj_demo_001,2026-04-08,refund_rate,0.0346,overall,all
proj_demo_001,2026-04-08,ticket_count,88,overall,all
proj_demo_001,2026-04-08,ai_reply_satisfaction,0.7897,overall,all
proj_demo_001,2026-04-08,onboarding_completion_rate,0.662,overall,all
proj_demo_001,2026-04-09,dau,9324,overall,all
proj_demo_001,2026-04-09,conversion_rate,0.1278,overall,all
proj_demo_001,2026-04-09,payment_success_rate,0.9128,overall,all
proj_demo_001,2026-04-09,refund_rate,0.0367,overall,all
proj_demo_001,2026-04-09,ticket_count,93,overall,all
proj_demo_001,2026-04-09,ai_reply_satisfaction,0.7398,overall,all
proj_demo_001,2026-04-09,onboarding_completion_rate,0.6455,overall,all
proj_demo_001,2026-04-10,dau,9338,overall,all
proj_demo_001,2026-04-10,conversion_rate,0.1277,overall,all
proj_demo_001,2026-04-10,payment_success_rate,0.9122,overall,all
proj_demo_001,2026-04-10,refund_rate,0.0372,overall,all
proj_demo_001,2026-04-10,ticket_count,89,overall,all
proj_demo_001,2026-04-10,ai_reply_satisfaction,0.7335,overall,all
proj_demo_001,2026-04-10,onboarding_completion_rate,0.6173,overall,all
proj_demo_001,2026-04-11,dau,9769,overall,all
proj_demo_001,2026-04-11,conversion_rate,0.1279,overall,all
proj_demo_001,2026-04-11,payment_success_rate,0.9069,overall,all
proj_demo_001,2026-04-11,refund_rate,0.0336,overall,all
proj_demo_001,2026-04-11,ticket_count,93,overall,all
proj_demo_001,2026-04-11,ai_reply_satisfaction,0.7341,overall,all
proj_demo_001,2026-04-11,onboarding_completion_rate,0.6377,overall,all
proj_demo_001,2026-04-12,dau,9666,overall,all
proj_demo_001,2026-04-12,conversion_rate,0.1298,overall,all
proj_demo_001,2026-04-12,payment_success_rate,0.9114,overall,all
proj_demo_001,2026-04-12,refund_rate,0.0383,overall,all
proj_demo_001,2026-04-12,ticket_count,79,overall,all
proj_demo_001,2026-04-12,ai_reply_satisfaction,0.755,overall,all
proj_demo_001,2026-04-12,onboarding_completion_rate,0.6458,overall,all
proj_demo_001,2026-04-13,dau,9796,overall,all
proj_demo_001,2026-04-13,conversion_rate,0.127,overall,all
proj_demo_001,2026-04-13,payment_success_rate,0.9025,overall,all
proj_demo_001,2026-04-13,refund_rate,0.0357,overall,all
proj_demo_001,2026-04-13,ticket_count,83,overall,all
proj_demo_001,2026-04-13,ai_reply_satisfaction,0.7557,overall,all
proj_demo_001,2026-04-13,onboarding_completion_rate,0.62,overall,all
proj_demo_001,2026-04-14,dau,9925,overall,all
proj_demo_001,2026-04-14,conversion_rate,0.1138,overall,all
proj_demo_001,2026-04-14,payment_success_rate,0.8557,overall,all
proj_demo_001,2026-04-14,refund_rate,0.0472,overall,all
proj_demo_001,2026-04-14,ticket_count,120,overall,all
proj_demo_001,2026-04-14,ai_reply_satisfaction,0.7383,overall,all
proj_demo_001,2026-04-14,onboarding_completion_rate,0.6634,overall,all
proj_demo_001,2026-04-15,dau,9628,overall,all
proj_demo_001,2026-04-15,conversion_rate,0.1077,overall,all
proj_demo_001,2026-04-15,payment_success_rate,0.8485,overall,all
proj_demo_001,2026-04-15,refund_rate,0.0488,overall,all
proj_demo_001,2026-04-15,ticket_count,108,overall,all
proj_demo_001,2026-04-15,ai_reply_satisfaction,0.7315,overall,all
proj_demo_001,2026-04-15,onboarding_completion_rate,0.6317,overall,all
proj_demo_001,2026-04-16,dau,9778,overall,all
proj_demo_001,2026-04-16,conversion_rate,0.1076,overall,all
proj_demo_001,2026-04-16,payment_success_rate,0.8596,overall,all
proj_demo_001,2026-04-16,refund_rate,0.05,overall,all
proj_demo_001,2026-04-16,ticket_count,125,overall,all
proj_demo_001,2026-04-16,ai_reply_satisfaction,0.7362,overall,all
proj_demo_001,2026-04-16,onboarding_completion_rate,0.6258,overall,all
proj_demo_001,2026-04-17,dau,9713,overall,all
proj_demo_001,2026-04-17,conversion_rate,0.1072,overall,all
proj_demo_001,2026-04-17,payment_success_rate,0.8523,overall,all
proj_demo_001,2026-04-17,refund_rate,0.0504,overall,all
proj_demo_001,2026-04-17,ticket_count,108,overall,all
proj_demo_001,2026-04-17,ai_reply_satisfaction,0.7733,overall,all
proj_demo_001,2026-04-17,onboarding_completion_rate,0.6642,overall,all
proj_demo_001,2026-04-18,dau,9863,overall,all
proj_demo_001,2026-04-18,conversion_rate,0.1124,overall,all
proj_demo_001,2026-04-18,payment_success_rate,0.8556,overall,all
proj_demo_001,2026-04-18,refund_rate,0.0457,overall,all
proj_demo_001,2026-04-18,ticket_count,108,overall,all
proj_demo_001,2026-04-18,ai_reply_satisfaction,0.769,overall,all
proj_demo_001,2026-04-18,onboarding_completion_rate,0.6329,overall,all
proj_demo_001,2026-04-19,dau,9725,overall,all
proj_demo_001,2026-04-19,conversion_rate,0.1061,overall,all
proj_demo_001,2026-04-19,payment_success_rate,0.8564,overall,all
proj_demo_001,2026-04-19,refund_rate,0.0466,overall,all
proj_demo_001,2026-04-19,ticket_count,112,overall,all
proj_demo_001,2026-04-19,ai_reply_satisfaction,0.7873,overall,all
proj_demo_001,2026-04-19,onboarding_completion_rate,0.6413,overall,all
proj_demo_001,2026-04-20,dau,9744,overall,all
proj_demo_001,2026-04-20,conversion_rate,0.1122,overall,all
proj_demo_001,2026-04-20,payment_success_rate,0.8546,overall,all
proj_demo_001,2026-04-20,refund_rate,0.0481,overall,all
proj_demo_001,2026-04-20,ticket_count,111,overall,all
proj_demo_001,2026-04-20,ai_reply_satisfaction,0.7786,overall,all
proj_demo_001,2026-04-20,onboarding_completion_rate,0.6261,overall,all
proj_demo_001,2026-04-21,dau,9802,overall,all
proj_demo_001,2026-04-21,conversion_rate,0.1313,overall,all
proj_demo_001,2026-04-21,payment_success_rate,0.9136,overall,all
proj_demo_001,2026-04-21,refund_rate,0.037,overall,all
proj_demo_001,2026-04-21,ticket_count,85,overall,all
proj_demo_001,2026-04-21,ai_reply_satisfaction,0.7787,overall,all
proj_demo_001,2026-04-21,onboarding_completion_rate,0.6632,overall,all
proj_demo_001,2026-04-22,dau,9855,overall,all
proj_demo_001,2026-04-22,conversion_rate,0.1308,overall,all
proj_demo_001,2026-04-22,payment_success_rate,0.918,overall,all
proj_demo_001,2026-04-22,refund_rate,0.0356,overall,all
proj_demo_001,2026-04-22,ticket_count,79,overall,all
proj_demo_001,2026-04-22,ai_reply_satisfaction,0.7797,overall,all
proj_demo_001,2026-04-22,onboarding_completion_rate,0.6605,overall,all
proj_demo_001,2026-04-23,dau,10152,overall,all
proj_demo_001,2026-04-23,conversion_rate,0.1266,overall,all
proj_demo_001,2026-04-23,payment_success_rate,0.9164,overall,all
proj_demo_001,2026-04-23,refund_rate,0.0339,overall,all
proj_demo_001,2026-04-23,ticket_count,80,overall,all
proj_demo_001,2026-04-23,ai_reply_satisfaction,0.7733,overall,all
proj_demo_001,2026-04-23,onboarding_completion_rate,0.6467,overall,all
